#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T09:28:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bf2809ea7aa	
#INFO	-out.max=1000	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=1000
#-order=I
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1b}&key:source=J/A+A/616/A10/tablea1b&HTTPPRM:&&-ref=VIZ5bf2809ea7aa&-out.max=1000&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/A+A/616/A10/tablea1b&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Source&-out=Cluster&Cluster=NGC6774&-out=RA_ICRS&-out=DE_ICRS&-out=Gmag&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/A+A/616/A10/tablea1b
#-source=J/A+A/616/A10/tablea1b
#-out=Source
#-out=Cluster
#Cluster=NGC6774
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1b:
#Name: J/A+A/616/A10/tablea1b
#Title: Stars in 37 open clusters beyond 250pc
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
 	 	deg	deg	mag	deg	deg
Source	Cluster	RA_ICRS	DE_ICRS	Gmag	_RA.icrs	_DE.icrs
   4185288124912446848	NGC6774 	287.88588	-14.70494	16.096	287.88588	-14.70494
   4180547717973651072	NGC6774 	291.01432	-17.65231	19.756	291.01432	-17.65231
   4180543152426577664	NGC6774 	290.63615	-17.69416	10.744	290.63615	-17.69416
   4180552150379613568	NGC6774 	290.93104	-17.57052	19.604	290.93104	-17.57052
   4087067857852223488	NGC6774 	287.43648	-18.78041	19.179	287.43648	-18.78041
   4087088031319590400	NGC6774 	286.57109	-19.05310	19.947	286.57109	-19.05310
   4087071091979097088	NGC6774 	287.05029	-18.90562	16.497	287.05029	-18.90562
   4087083010501853952	NGC6774 	287.11921	-18.71055	18.207	287.11921	-18.71055
   4185328497609129600	NGC6774 	287.22655	-14.60552	19.307	287.22655	-14.60552
   4185325306467181440	NGC6774 	287.27841	-14.63296	17.369	287.27841	-14.63296
   4184079353623862528	NGC6774 	289.86436	-15.71054	16.872	289.86436	-15.71054
   4184063857381713792	NGC6774 	290.04650	-15.73408	14.547	290.04650	-15.73408
   4184088523369348608	NGC6774 	290.02198	-15.50992	11.876	290.02198	-15.50992
   4184059008355175296	NGC6774 	290.12893	-15.85624	19.679	290.12893	-15.85624
   4184083579871659904	NGC6774 	290.02175	-15.59347	10.811	290.02175	-15.59347
   4185009643545958272	NGC6774 	288.54370	-15.29695	16.247	288.54370	-15.29695
   4184979406975094144	NGC6774 	288.50423	-15.48473	16.502	288.50423	-15.48473
   4184985454289203328	NGC6774 	288.46135	-15.37167	14.503	288.46135	-15.37167
   4185006173212505344	NGC6774 	288.65796	-15.30676	11.029	288.65796	-15.30676
   4184970503493068032	NGC6774 	288.33431	-15.66588	18.957	288.33431	-15.66588
   4084605810804088960	NGC6774 	289.09427	-17.80481	18.107	289.09427	-17.80481
   4084571764594133760	NGC6774 	288.44937	-18.31967	19.700	288.44937	-18.31967
   4084585817738646400	NGC6774 	288.53347	-18.05783	 9.623	288.53347	-18.05783
   4179856331312082048	NGC6774 	291.85833	-17.58296	18.816	291.85833	-17.58296
   4197448899624287744	NGC6774 	286.26853	-13.83794	19.995	286.26853	-13.83794
   4180633449810080512	NGC6774 	291.61506	-17.12669	19.788	291.61506	-17.12669
   4088774338574467584	NGC6774 	287.27174	-16.10456	12.785	287.27174	-16.10456
   4084718927353312768	NGC6774 	289.18989	-17.53536	19.772	289.18989	-17.53536
   4087714409360276864	NGC6774 	288.40590	-17.12406	13.328	288.40590	-17.12406
   4087735025198194176	NGC6774 	289.00709	-17.26588	16.272	289.00709	-17.26588
