#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T08:56:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5bf27a0144f2
#INFO	-out.max=1000
#INFO	queryParameters=20
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1a}&key:source=J/A+A/616/A10/tablea1a&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/616/A10/tablea1a
#-order=I
#-out=Source
#-out=Cluster
#Cluster=Hyades
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=plx
#-out=e_plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1a:
#Name: J/A+A/616/A10/tablea1a
#Title: Stars in nine open clusters within 250pc
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	plx	(F6.3)	? Optimized parallax (only in tablea1a.dat) (1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Uncertainty on optimized parallax (only in tablea1a.dat)	[ucd=stat.error;pos.parallax]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
deg	deg	 	 	deg	deg	mag	mas	mas	deg	deg
_RAJ2000	_DEJ2000	Source	Cluster	RA_ICRS	DE_ICRS	Gmag	plx	e_plx	_RA.icrs	_DE.icrs
064.8746100	+21.7537200	     49520255665123328	Hyades  	064.87461	+21.75372	12.861	20.866	 0.033	064.87461	+21.75372
060.2037800	+18.1938800	     49729231594420096	Hyades  	060.20378	+18.19388	 5.790	21.789	 0.045	060.20378	+18.19388
059.8069600	+20.4280500	     51383893515451392	Hyades  	059.80696	+20.42805	12.570	22.737	 0.006	059.80696	+20.42805
066.0612700	+21.7360500	    145373377272257664	Hyades  	066.06127	+21.73605	 6.990	23.109	 0.003	066.06127	+21.73605
067.0037100	+21.6197200	    145391484855481344	Hyades  	067.00371	+21.61972	 5.643	19.968	 0.067	067.00371	+21.61972
065.8435000	+21.3789300	    145325548516513280	Hyades  	065.84350	+21.37893	 8.639	19.878	 0.027	065.84350	+21.37893
066.3547500	+22.1998000	    145484629809228544	Hyades  	066.35475	+22.19980	 5.194	22.113	 0.094	066.35475	+22.19980
066.5775600	+21.4702700	    145293181643038336	Hyades  	066.57756	+21.47027	 7.224	20.667	 0.040	066.57756	+21.47027
066.5804400	+21.4687500	    145293181643038208	Hyades  	066.58044	+21.46875	15.087	20.940	 0.024	066.58044	+21.46875
066.8198200	+17.2417200	   3313778207594395392	Hyades  	066.81982	+17.24172	12.144	21.732	 0.022	066.81982	+17.24172
066.5798200	+17.0504800	   3313751441358252160	Hyades  	066.57982	+17.05048	16.365	21.093	 0.121	066.57982	+17.05048
065.8549100	+16.7771500	   3313842529024545664	Hyades  	065.85491	+16.77715	 5.564	20.520	 0.059	065.85491	+16.77715
066.0932500	+17.0788400	   3313947704182762240	Hyades  	066.09325	+17.07884	 6.839	19.595	 0.017	066.09325	+17.07884
066.2514400	+16.9847900	   3313759000500605056	Hyades  	066.25144	+16.98479	 9.968	18.257	 0.020	066.25144	+16.98479
066.0245100	+17.4439900	   3313978112552491136	Hyades  	066.02451	+17.44399	 4.724	21.674	 0.146	066.02451	+17.44399
074.9350600	+15.9166000	   3393284752392701312	Hyades  	074.93506	+15.91660	 6.627	22.461	 0.030	074.93506	+15.91660
071.1321700	+23.9408800	    147022541634235392	Hyades  	071.13217	+23.94088	14.230	19.547	 0.030	071.13217	+23.94088
072.9727100	+24.6098900	    147118233505518976	Hyades  	072.97271	+24.60989	15.845	20.973	 0.036	072.97271	+24.60989
072.3045100	+24.8026100	    147182172683187712	Hyades  	072.30451	+24.80261	 9.227	20.153	 0.016	072.30451	+24.80261
066.9716200	+20.9813400	    144512287869179136	Hyades  	066.97162	+20.98134	17.647	18.817	 0.045	066.97162	+20.98134
068.4054200	+21.1506500	    144377799556207488	Hyades  	068.40542	+21.15065	10.199	22.835	 0.014	068.40542	+21.15065
068.1229900	+20.7353800	    144338187075686016	Hyades  	068.12299	+20.73538	15.071	17.064	 0.099	068.12299	+20.73538
