#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-17T10:14:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b4dc16c1ff7
#INFO	-out.max=1000
#INFO	queryParameters=25
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:J/MNRAS/459/1060&tab:{J/MNRAS/459/1060/table2}&key:source=J/MNRAS/459/1060&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/459/1060/table2
#-order=I
#-out=EPIC
#-out=IDX
#-out=Class
#-out=Cat
#-out=Period
#-out=FVI
#-out=Std
#-out=Stdc
#-out=RAJ2000
#-out=DEJ2000
#-out=N16
#N16=N16
#-out=H16
#H16=H16
#-out=SimbadName
#

#RESOURCE=yCat_74591060
#Name: J/MNRAS/459/1060
#Title: M67 variable stars from Kepler/K2-Campaign-5 (Gonzalez, 2016)
#Table	J_MNRAS_459_1060_table2:
#Name: J/MNRAS/459/1060/table2
#Title: Various data for the stars in our working sample
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	EPIC	(I9)	K2 Input Catalog identifier	[ucd=meta.id;meta.main]
#Column	IDX	(A6)	Other identifier	[ucd=meta.id]
#Column	Class	(A2)	Class (1)	[ucd=src.class]
#Column	Cat	(A5)	Category (2)	[ucd=meta.code]
#Column	Period	(F9.6)	Period derived from periodogram d	[ucd=time.period]
#Column	FVI	(F6.2)	Flux variability index	[ucd=meta.code;src.var.index]
#Column	Std	(F7.3)	Standard deviation of flux values mmag	[ucd=stat.stdev;phot.mag]
#Column	Stdc	(F7.3)	Corrected standard deviation mmag	[ucd=stat.stdev;phot.mag]
#Column	RAJ2000	(F10.6)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	N16	(A3)	Display the Nardillo et al. (2016, Cat. J/MNRAS/455/2337) data	[ucd=meta.ref.url]
#Column	H16	(A3)	Display the Huber et al. (2016, Cat. J/ApJS/224/2) data	[ucd=meta.ref.url]
#Column	SimbadName	(a22)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	EPIC	IDX	Class	Cat	Period	FVI	Std	Stdc	RAJ2000	DEJ2000	N16	H16	SimbadName
133.08556306	11.47004611	211389202	      	N 	rot  	27.949959	2.44	11.258	10.268	133.085563	11.470046	N16	H16	EPIC 211389202
132.96195306	11.47346806	211389426	      	N 	mult 	35.48282	5.31	36.91	36.249	132.961953	11.473468	N16	H16	EPIC 211389426
132.74217889	11.47355111	211389428	      	M 	rot  	28.722914	2.32	4.994	4.507	132.742179	11.473551	N16	H16	EPIC 211389428
132.73425389	11.47544889	211389537	F2743 	SM	rot  	26.29862	3.24	2.398	2.281	132.734254	11.475449	N16	H16	EPIC 211389537
132.98408806	11.47790806	211389698	      	  	rot  	25.790699	1.92	26.414	22.531	132.984088	11.477908	N16	H16	EPIC 211389698
132.49668694	11.47820889	211389716	S341  	SM	rot  	29.035177	2.68	0.35	0.325	132.496687	11.478209	N16	H16	EPIC 211389716
132.52733389	11.47883611	211389758	      	  	rot  	22.886045	1.22	21.456	12.258	132.527334	11.478836	N16	H16
132.73758194	11.48041	211389848	      	  	rot  	30.454119	1.73	23.124	18.865	132.737582	11.48041	N16	H16	EPIC 211389848
132.54853306	11.48186389	211389931	      	M 	mult 	20.169975	1.79	3.751	3.114	132.548533	11.481864	N16	H16	EPIC 211389931
132.49949389	11.48234806	211389952	      	N 	mult 	36.594093	3	3.875	3.654	132.499494	11.482348	N16	H16	EPIC 211389952
133.13359194	11.48235611	211389954	S1572 	SN	rot  	29.563194	3.92	0.407	0.394	133.133592	11.482356	N16	H16	EPIC 211389954
133.18092611	11.482995	211390005	S1691 	SN	mult 	16.851881	6.92	0.626	0.619	133.180926	11.482995	N16	H16	EPIC 211390005
133.11722806	11.48442	211390071	      	M 	rot  	12.662815	2.73	6.067	5.647	133.117228	11.48442	N16	H16	EPIC 211390071
132.85744389	11.48459389	211390081	      	  	mult 	25.014263	3.54	55.048	52.811	132.857444	11.484594	N16	H16	EPIC 211390081
133.12815806	11.48490889	211390107	S1573 	SM	rot  	33.39141	2.66	0.746	0.691	133.128158	11.484909	N16	H16	EPIC 211390107
132.43413611	11.48595806	211390158	S343  	M 	mult 	12.203753	2.56	0.401	0.369	132.434136	11.485958	N16	H16	EPIC 211390158
132.87667111	11.48778806	211390273	      	  	mult 	44.79183	3.19	42.197	40.065	132.876671	11.487788	N16	H16	EPIC 211390273
132.84831806	11.48892194	211390337	      	  	mult 	30.474977	1.46	17.776	12.938	132.848318	11.488922	N16	H16	EPIC 211390337
133.14278694	11.48929306	211390358	      	N 	mult 	34.724888	2.27	9.039	8.119	133.142787	11.489293	N16	H16	EPIC 211390358
132.62300611	11.49283611	211390572	      	N 	mult 	29.285334	4.66	37.702	36.823	132.623006	11.492836	N16	H16
132.54192194	11.49321	211390587	      	  	rot  	31.242983	2.86	42.02	39.37	132.541922	11.49321	N16	H16	EPIC 211390587
133.28834111	11.49665806	211390800	S1784 	SM	rot  	20.008078	2.5	0.273	0.25	133.288341	11.496658	N16	H16	EPIC 211390800
133.22617111	11.49672111	211390803	S1692 	SN	mult 	23.563938	6.66	0.663	0.656	133.226171	11.496721	N16	H16	EPIC 211390803
